Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP,Fox Insight
PDSS - Unexpectedly Fallen Asleep,,Parkinson's Disease Sleep Scale - Have you unexpectedly fallen asleep during the day?,,,,pdss_q15,,,,,
Parkinson's Disease Sleep Scale,,The Parkinson's Disease Sleep Scale allows health and social care professionals and people with Parkinson's to self-rate and quantify the level of sleep disruption being experienced in order to target treatment appropriately.,,,,pdss_score,,PDSS_total,,,
NMSQ - Dribbling of Saliva,,Non-Motor Symptoms Questionnaire - Dribbling of saliva during the daytime,,,,nms_1,,,,,
NMSQ - Change In Ability to Test,,Non-Motor Symptoms Questionnaire - Loss or change in your ability to taste or smell,,,,nms_2,,,,,
NMSQ - Difficulty Swallowing Food,,Non-Motor Symptoms Questionnaire - Difficulty swallowing food or drink or problems with choking,,,,nms_3,,,,,
NMSQ - Vomiting,,Non-Motor Symptoms Questionnaire - Vomiting or feelings of sickness (nausea),,,,nms_4,,,,,
NMSQ - Constipation,,Non-Motor Symptoms Questionnaire - Constipation (less than 3 bowel movements a week) or having to strain to pass a stool (faeces),,,,nms_5,,,,,
NMSQ - Bowel Incontinence,,Non-Motor Symptoms Questionnaire - Bowel (fecal) incontinence,,,,nms_6,,,,,
NMSQ - Bowel Emptying Is Incomplete,,Non-Motor Symptoms Questionnaire - Feeling that your bowel emptying is incomplete after having been to the toilet,,,,nms_7,,,,,
NMSQ - Urgency to Pass Urine,,Non-Motor Symptoms Questionnaire - A sense of urgency to pass urine makes you rush to the toilet,,,,nms_8,,,,,
NMSQ - Getting Up Regularly to Pass Urine,,Non-Motor Symptoms Questionnaire - Getting up regularly at night to pass urine,,,,nms_9,,,,,
NMSQ - Unexplained Pains,,Non-Motor Symptoms Questionnaire - Unexplained pains (not due to known conditions such as arthritis) ,,,,nms_10,,,,,
NMSQ - Unexplained Change In Weight,,Non-Motor Symptoms Questionnaire - Unexplained change in weight (not due to change in diet),,,,nms_11,,,,,
NMSQ - Problem Remembering Things,,Non-Motor Symptoms Questionnaire - Problems remembering things that have happened recently or forgetting to do things,,,,nms_12,,,,,
NMSQ - Loss of Interest,,Non-Motor Symptoms Questionnaire - Loss of interest in what is happening around you or doing things,,,,nms_13,,,,,
NMSQ - Seeing or Hearing Things,,Non-Motor Symptoms Questionnaire - Seeing or hearing things that you know or are told are not there,,,,nms_14,,,,,
NMSQ - Difficulty Concentrating,,Non-Motor Symptoms Questionnaire - Difficulty concentrating or staying focussed,,,,nms_15,,,,,
NMSQ - Feeling Sad,,"Non-Motor Symptoms Questionnaire - Feeling sad, 'low' or 'blue'",,,,nms_16,,,,,
NMSQ - Feeling Anxious,,"Non-Motor Symptoms Questionnaire - Feeling anxious, frightened or panicky",,,,nms_17,,,,,
NMSQ - Less or More Interested in Sex,,Non-Motor Symptoms Questionnaire - Feeling less interested in sex or more interested in sex,,,,nms_18,,,,,
NMSQ - Difficulty to Have Sex,,Non-Motor Symptoms Questionnaire - Finding it difficult to have sex when you try ,,,,nms_19,,,,,
NMSQ - Feeling Light Headed,,"Non-Motor Symptoms Questionnaire - Feeling light headed, dizzy or weak standing from sitting or lying",,,,nms_20,,,,,
NMSQ - Falling,,Non-Motor Symptoms Questionnaire - Falling,,,,nms_21,,,,,
NMSQ - Difficulty to Stay Awake,,"Non-Motor Symptoms Questionnaire - Finding it difficult to stay awake during activities such as working, driving or eating",,,,nms_22,,,,,
NMSQ - Difficulty Getting to Sleep,,Non-Motor Symptoms Questionnaire - Difficulty getting to sleep at night or staying asleep at night,,,,nms_23,,,,,
NMSQ - Vivid Dreams,,"Non-Motor Symptoms Questionnaire - Intense, vivid dreams or frightening dreams",,,,nms_24,,,,,
NMSQ - 'Acting' Out a Dream,,Non-Motor Symptoms Questionnaire - Talking or moving about in your sleep as if you are 'acting' out a dream,,,,nms_25,,,,,
NMSQ - Unpleasant Sensations in Leg,,"Non-Motor Symptoms Questionnaire - Unpleasant sensations in your legs at night or while resting, and a feeling that you need to move",,,,nms_26,,,,,
NMSQ - Swelling of Legs,,Non-Motor Symptoms Questionnaire - Swelling of your legs,,,,nms_27,,,,,
NMSQ - Excessive Sweating,,Non-Motor Symptoms Questionnaire - Excessive sweating,,,,nms_28,,,,,
NMSQ - Double Vision,,Non-Motor Symptoms Questionnaire - Double vision,,,,nms_29,,,,,
NMSQ - Believing Things Are Happening,,Non-Motor Symptoms Questionnaire - Believing things are happening to you that other people say are not true,,,,nms_30,,,,,
Non-Motor Symptoms Questionnaire,,Parkinson's Disease Non-Motor Questionnaire - Total score,,,,nms_score,,,,,
Beck Depression Inventory,NCIT:C40438,"A twenty-one question survey completed by a patient, with each answer scored on a scale of 0 to 3, designed to measure presence of depression.",Beck Depression Inventory,,,bdi_score,,,,40486012,
MDT - Chewing/Swallowing,,"Munich Dysphagia Test - I have difficulties with the chewing and swallowing of solid/ fibrous/ crumbly food. (e.g.apples, meat, cracker/ chips).",,,,mdt_1,,,,,
MDT - Discharge,,"Munich Dysphagia Test - During meals, food/liquid escapes from the mouth (or the nose).",,,,mdt_2,,,,,
MDT - Swallowing Trigger,,Munich Dysphagia Test - I find it difficult to directly/ quickly start the swallowing process when taking in liquids or food.,,,,mdt_3,,,,,
MDT - Multiple Swallowing,,Munich Dysphagia Test - For the complete swallowing of food/ liquids I need to swallow multiple times in a row.,,,,mdt_4,,,,,
MDT - Food Remains,,Munich Dysphagia Test - Food residues remain in my mouth after swallowing.,,,,mdt_5,,,,,
MDT - Food Gets Stuck,,"Munich Dysphagia Test - During the swallowing process, food gets stuck in my throat/ esophagus. (maybe I even have to choke).",,,,mdt_6,,,,,
MDT - Coughing While Eating,,Munich Dysphagia Test - During (or after) eating food I have to hawk/cough.,,,,mdt_7,,,,,
MDT - Coughing While Drinking,,Munich Dysphagia Test - During (or after) drinking liquids (or eating soup) I have to hawk/ cough.,,,,mdt_8,,,,,
MDT - Problems Breathing,,Munich Dysphagia Test - It happens that I have difficulties breathing/a sense of suffocation when swallowing food or liquids.,,,,mdt_9,,,,,
MDT - Changed Voice,,Munich Dysphagia Test - Right after eating food/ drinking liquids my voice has changed. (e.g. coated/weakened/wet/gargling).,,,,mdt_10,,,,,
MDT - Saliva Problems,,Munich Dysphagia Test - I have increased amount of saliva in my mouth/ I swallow my saliva too rarely or I have general problems swallowing my saliva/ drooling.,,,,mdt_11,,,,,
MDT - Dry Mouth,,Munich Dysphagia Test - I have a very dry mouth/ not enough saliva.,,,,mdt_12,,,,,
MDT - Chocking on Saliva,,Munich Dysphagia Test - It happens that I cough or have trouble breathing because I have choked on my saliva/ saliva went into my trachea.,,,,mdt_13,,,,,
MDT - Pills,,Munich Dysphagia Test - I have problems swallowing pills.,,,,mdt_14,,,,,
MDT - Off Times,,Munich Dysphagia Test - During the off-phases (Off-drug-state/ declining levodopalevels) I have more difficulties to swallow.,,,,mdt_15,,,,,
MDT - Avoidance,,"Munich Dysphagia Test - I avoid specific foods or textures that often make me choke. (e.g. nuts, crumb cake, liquid-filled pralines, raw vegetable salads).",,,,mdt_16,,,,,
MDT - Clearing Throat,,Munich Dysphagia Test - It is difficult for me to hawk/ cough after I choke in order to clear my throat.,,,,mdt_17,,,,,
MDT - Duration (For Meals),,"Munich Dysphagia Test - Nowadays, it takes me more time to eat than it used to. (e.g. because I have to chew longer/ foods are longer in my mouth due to longer preparation time or more careful swallowing)",,,,mdt_18,,,,,
MDT - Tiredness (Within Meals),,Munich Dysphagia Test - It happens that I get tired during meals (or even fall asleep) and don't finish chewing and swallowing my food.,,,,mdt_19,,,,,
MDT - Rinsing Afterwards,,"Munich Dysphagia Test - During meals I have to have liquids to ""flush down"" the food in order to be able to better swallow.",,,,mdt_20,,,,,
MDT - Single Swallowing,,Munich Dysphagia Test - I can only swallow liquids in small sips.,,,,mdt_21,,,,,
MDT - Loss of Appetite,,Munich Dysphagia Test - I have a reduced appetite or pleasure to eat than before. (sense of taste and smell are potentially affected),,,,mdt_22,,,,,
MDT - Heartburn/Lump,,"Munich Dysphagia Test - I have problems, such as heartburn/ frequent burping, sense of lump in the throat/ esophagus, sense of pressure behind the breastbone.",,,,mdt_23,,,,,
MDT - Lung Infection,,Munich Dysphagia Test - Within the last year I had a lung infection or unclear fever-infections.,,,,mdt_24,,,,,
MDT - Loss of Weight,,Munich Dysphagia Test - I involuntarily loose body weight.,,,,mdt_25,,,,,
MDT - Fluid Intake,,"Munich Dysphagia Test - I drink less than 50 oz. of liquid during a given day. (equal to suggested minimum of 7 - 8 glasses/ cups water, juice, tea, coffee, soup)",,,,mdt_26,,,,,
Munich Dysphagia Test,,Munich Dysphagia Test - Total score,,,,mdt_score,,,,,
MFS - Drowsy and Lethargic - Question 1,,"Mayo Fluctuations Scale - Is the participant drowsy and lethargic during the day, despite getting enough sleep the night before?",,,,mayo_q1,,,,,
MFS - Drowsy and Lethargic - Question 2,,Mayo Fluctuations Scale - Does the participant sleep 2 or more hours during the day (before 7:00 p.m.)?,,,,mayo_q2,,,,,
MFS - Drowsy and Lethargic - Question 3,,"Mayo Fluctuations Scale - Are there times when the participant's flow of ideas is disorganized, unclear, or not logical?",,,,mayo_q3,,,,,
MFS - Drowsy and Lethargic - Question 4,,Mayo Fluctuations Scale - Does the participant tend to stare into space for long periods of time?,,,,mayo_q4,,,,,
Mayo Fluctuations Scale - Total Score,,Mayo Fluctuations Scale - Total score,,,,mayo_score,,,,,
FOGQ - Do You Walk,,"Freezing of Gait Questionnaire - During your worst state, do you walk:",,,,fogq_q1,,,,,
FOGQ - Gait Difficulties Affecting Life,,Freezing of Gait Questionnaire - Are your gait difficulties affecting your daily activities and independence?,,,,fogq_q2,,,,,
FOGQ - Feet Glued to Ground,,"Freezing of Gait Questionnaire - Do you feel that your feet get glued to the floor while walking, making a turn or when trying to initiate walking (freezing)?",,,,fogq_q3,,,,,
FOGQ - Longest Freezing Episode,,Freezing of Gait Questionnaire - How long is your longest freezing episode?,,,,fogq_q4,,,,,
FOGQ - Typical Start Hesitation,,Freezing of Gait Questionnaire - How long is your typical start hesitation episode (freezing when initiating the first step)?,,,,fogq_q5,,,,,
FOGQ - Typical Turning Hesitation,,Freezing of Gait Questionnaire - How long is your typical turning hesitation episode (freezing when turning)?,,,,fogq_q6,,,,,
Freezing of Gait Questionnaire - Total Score,,Freezing of Gait Questionnaire - Total score,,,,fogq_score,,,fog_total,,
Ek-60FT - Total Score Anger,,The Ekman 60 Faces Test - Total score for angry faces,,,,ekman_total_1,,,,,
Ek-60FT - Total Score Disgust,,The Ekman 60 Faces Test - Total score for disgusted faces,,,,ekman_total_2,,,,,
Ek-60FT - Total Score Fear,,The Ekman 60 Faces Test - Total score for feared faces,,,,ekman_total_3,,,,,
Ek-60FT - Total Score Hapiness,,The Ekman 60 Faces Test - Total score for happy faces,,,,ekman_total_4,,,,,
Ek-60FT - Total Score Sadness,,The Ekman 60 Faces Test - Total score for sad faces,,,,ekman_total_5,,,,,
Ek-60FT - Total Score Surprise,,The Ekman 60 Faces Test - Total score for surprised faces,,,,ekman_total_6,,,,,
The Ekman 60 Faces Test - Grand Total Score,,The Ekman 60 Faces Test - Grand total score,,,,ekman_grand_total,,,,,
PSPFDS - Apathy,,The Progressive Supranuclear Palsy Functional Disability Scale - Apathy,,,,fds_a,,,,,
PSPFDS - Bulbar Dysfunction,,The Progressive Supranuclear Palsy Functional Disability Scale - Bulbar Dysfunction,,,,fds_b,,,,,
PSPFDS - Constriction (Akinesia-Rigidity),,The Progressive Supranuclear Palsy Functional Disability Scale - Constriction (akinesia-rigidity),,,,fds_c,,,,,
PSPFDS - Drops (Postural Instability),,The Progressive Supranuclear Palsy Functional Disability Scale - Drops (postural instability),,,,fds_d,,,,,
PSPFDS - Eye Movement Dysfunction,,The Progressive Supranuclear Palsy Functional Disability Scale - Eye movement dysfunction,,,,fds_e,,,,,
The Progressive Supranuclear Palsy Functional Disability Scale - Total Score,,The Progressive Supranuclear Palsy Functional Disability Scale - Total score,,,,fds_score,,,,,
PSPRS - Withdrawal,,The Progressive Supranuclear Palsy Rating Scale - Withdrawal (relative to baseline personality),,,,psp_1,,,,,
PSPRS - Irritability,,The Progressive Supranuclear Palsy Rating Scale - Irritability (relative to baseline personality),,,,psp_2,,,,,
PSPRS - Dysphagia Solids,,The Progressive Supranuclear Palsy Rating Scale - Dysphagia for solids,,,,psp_3,,,,,
PSPRS - Using Knife,,"The Progressive Supranuclear Palsy Rating Scale - Using knife and fork, buttoning clothes,washing hands and face (rate the worst)",,,,psp_4,,,,,
PSPRS - Falls,,The Progressive Supranuclear Palsy Rating Scale - Falls (average frequency if patient attempted to walk unaided),,,,psp_5,,,,,
PSPRS - Urinary Incontinence,,The Progressive Supranuclear Palsy Rating Scale - Urinary incontinence,,,,psp_6,,,,,
PSPRS - Sleep Difficulty,,The Progressive Supranuclear Palsy Rating Scale - Sleep difficulty,,,,psp_7,,,,,
PSPRS - History Score,,The Progressive Supranuclear Palsy Rating Scale - Total score for history section,,,,psp_score1,,,,,
PSPRS - Disorientation,,The Progressive Supranuclear Palsy Rating Scale - Disorientation,,,,psp_8,,,,,
PSPRS - Bradyphrenia,,The Progressive Supranuclear Palsy Rating Scale - Bradyphrenia,,,,psp_9,,,,,
PSPRS - Emotional Incontenence,,The Progressive Supranuclear Palsy Rating Scale - Emotional incontenence,,,,psp_10,,,,,
PSPRS - Grasping,,The Progressive Supranuclear Palsy Rating Scale - Grasping/imitative/utilizing behavior,,,,psp_11,,,,,
PSPRS - Mentation Score,,The Progressive Supranuclear Palsy Rating Scale - Total score for mental examination section,,,,psp_score2,,,,,
PSPRS - Dysarthria,,The Progressive Supranuclear Palsy Rating Scale - Dysarthria (ignoring palilalia),,,,psp_12,,,,,
PSPRS - Dysphagia,,"The Progressive Supranuclear Palsy Rating Scale - Dysphagia (for 30-50 cc of water from a cup, if safe)",,,,psp_13,,,,,
PSPRS - Bulbar Score,,The Progressive Supranuclear Palsy Rating Scale - Total score for bulbar examination section,,,,psp_score3,,,,,
PSPRS - Upward Saccades,,The Progressive Supranuclear Palsy Rating Scale - Voluntary upward saccades,,,,psp_14,,,,,
PSPRS - Downward Saccades,,The Progressive Supranuclear Palsy Rating Scale - Voluntary downward saccades,,,,psp_15,,,,,
PSPRS - Left and Right Saccades,,The Progressive Supranuclear Palsy Rating Scale - Voluntary left and right saccades,,,,psp_16,,,,,
PSPRS - Eyelid Dysfunction,,The Progressive Supranuclear Palsy Rating Scale - Eyelid dysfunction,,,,psp_17,,,,,
PSPRS - Ocular Score,,The Progressive Supranuclear Palsy Rating Scale - Total score for supranuclear ocular motor examination section,,,,psp_score4,,,,,
PSPRS - Limb Rigidity,,The Progressive Supranuclear Palsy Rating Scale - Limb rigidity (rate the worst of the four),,,,psp_18,,,,,
PSPRS - Limb Dystonia,,The Progressive Supranuclear Palsy Rating Scale - Limb dystonia (rate worst of the four; ignore neck and face),,,,psp_19,,,,,
PSPRS - Finger Tapping,,"The Progressive Supranuclear Palsy Rating Scale - Finger tapping (if asymmetric, rate worse side)",,,,psp_20,,,,,
PSPRS - Toe Tapping,,"The Progressive Supranuclear Palsy Rating Scale - Toe tapping (if asymmetric, rate worse side)",,,,psp_21,,,,,
PSPRS - Apraxia of Hand,,The Progressive Supranuclear Palsy Rating Scale - Apraxia of hand movement,,,,psp_22,,,,,
PSPRS - Tremor,,The Progressive Supranuclear Palsy Rating Scale - Tremor in any part,,,,psp_23,,,,,
PSPRS - Limb Score,,The Progressive Supranuclear Palsy Rating Scale - Total score for limb examination section,,,,psp_score5,,,,,
PSPRS - Neck Rigidity,,The Progressive Supranuclear Palsy Rating Scale - Neck rigidity or dystonia,,,,psp_24,,,,,
PSPRS - Arising From Chair,,The Progressive Supranuclear Palsy Rating Scale - Arising from chair,,,,psp_25,,,,,
PSPRS - Gait,,The Progressive Supranuclear Palsy Rating Scale - Gait,,,,psp_26,,,,,
PSPRS - Postural Stability,,The Progressive Supranuclear Palsy Rating Scale - Postural stability (on backward pull) ,,,,psp_27,,,,,
PSPRS - Sitting Down,,The Progressive Supranuclear Palsy Rating Scale - Sitting down (may touch seat or back but not arms of chair),,,,psp_28,,,,,
PSPRS - Gait Score,,The Progressive Supranuclear Palsy Rating Scale - Total score for gait/midline examination section,,,,psp_score6,,,,,
The Progressive Supranuclear Palsy Rating Scale - Total Score,,The Progressive Supranuclear Palsy Rating Scale - Total score of all the sections,,,,psp_score_total,,,,,
FES-I - Cleaning House,,"Falls Efficacy Scale - International - Cleaning the house (e.g. sweep, vacuum or dust)",,,,fesi_q1,,,,,
FES-I - Gettin Dressed,,Falls Efficacy Scale - International - Getting dressed or undressed,,,,fesi_q2,,,,,
FES-I - Preparing Meals,,Falls Efficacy Scale - International - Preparing simple meals,,,,fesi_q3,,,,,
FES-I - Taking Shower,,Falls Efficacy Scale - International - Taking a bath or shower,,,,fesi_q4,,,,,
FES-I - Going to Shop,,Falls Efficacy Scale - International - Going to the shop,,,,fesi_q5,,,,,
FES-I - Getting in Chair,,Falls Efficacy Scale - International - Getting in or out of a chair,,,,fesi_q6,,,,,
FES-I - Stairs,,Falls Efficacy Scale - International - Going up or down stairs,,,,fesi_q7,,,,,
FES-I - Neighbourhood,,Falls Efficacy Scale - International - Walking around the neighbourhood,,,,fesi_q8,,,,,
FES-I - Reaching Something,,Falls Efficacy Scale - International - Reaching for something above your head or on the ground,,,,fesi_q9,,,,,
FES-I - Answer Telephone,,Falls Efficacy Scale - International - Going to answer the telephone before it stops ringing,,,,fesi_q10,,,,,
FES-I - Walking on Slippery,,Falls Efficacy Scale - International - Walking on a slippery surface (e.g. wet or ice),,,,fesi_q11,,,,,
FES-I - Visiting,,Falls Efficacy Scale - International - Visiting a relative or a friend,,,,fesi_q12,,,,,
FES-I - Walking in Crowd,,Falls Efficacy Scale - International - Walking in a place with crowds,,,,fesi_q13,,,,,
FES-I - Walking on Uneven Surface,,"Falls Efficacy Scale - International - Walking on uneven surface (e.g. rocky surface, poorly maintained pavement).",,,,fesi_q14,,,,,
FES-I - Walking Up a Slope,,Falls Efficacy Scale - International - Walking up or down a slope,,,,fesi_q15,,,,,
FES-I - Social Event,,"Falls Efficacy Scale - International - Going out to a social event (e.g. religious service, family gathering or club meeting)",,,,fesi_q16,,,,,
FES-I - Total score,,Falls Efficacy Scale - International - Total score,,,,fesi_score,,,,3657177,
DGI - Gait Level Surface,,Dynamic Gait Index - Walk at your normal speed from here to the next mark (20 m).,,,,dgi_q1,,,,,
DGI - Change in Gait Speed,,"Dynamic Gait Index - Begin walking at your normal pace (for 5 m), when I tell you  ""go"", walk as fast as you can (for 5 m).  When I tell you ""slow"", walk as slowly as you can (for 5 m).",,,,dgi_q2,,,,,
DGI - Gait with Horizontal Head Turns,,"Dynamic Gait Index - Begin walking at your normal pace.  When I tell you to ""look right"", keep walking straight, but turn your head to the right. Keep looking to the right until I tell you ""look left"", then keep walking straight and turn your head to the left. Keep your head to the left until I tell you, ""look straight"", then keep walking straight, but return your head to the  centre.",,,,dgi_q3,,,,,
DGI - Gait with Vertical Head Turns,,"Dynamic Gait Index - Begin walking at your normal pace. When I tell you  to ""look up"", keep walking straight, but tip your head and look up. Keep looking up until I tell you, ""look down"".  Then keep walking straight and turn your head down. Keep looking down until I tell you, "" look straight"", then keep walking straight, but return your head to the centre.",,,,dgi_q4,,,,,
DGI - Gait Pivot and Turn,,"Dynamic Gait Index - Begin walking at your normal pace. When I tell you, ""turn and  stop"", turn as quickly as you can to face the opposite direction and stop.",,,,dgi_q5,,,,,
DGI - Step Over Obstacle,,"Dynamic Gait Index - Begin walking at your normal speed. When you come to the  shoebox, step over it, not around it, and keep walking.",,,,dgi_q6,,,,,
DGI - Step Around Obstacles,,"Dynamic Gait Index - Begin walking at normal speed. When you come to the  first cone (about 6 m away), walk around the right side of it.  When you some to the second cone (6 m past first cone), walk around it to the left.",,,,dgi_q7,,,,,
DGI - Steps,,"Dynamic Gait Index - Walk up these stairs as you would at home (i.e. using a rail if necessary). At the top, turn around and walk down.",,,,dgi_q8,,,,,
DGI - Total Score,SNOMED:443707009,Dynamic Gait Index - Total score,,,,dgi_score,,,,40482816,
EuroQol Five Dimensions Questionnaire,SCDO:0001267,"The EQ-5D is a widely-used generic instrument for describing health-related quality of life states in five dimensions scored from 1 to 3 or 1 to 5, and a visual analogue scale to record self-rated health state from 0 to100. These provide a simple descriptive profile and a single index value for health status. The EQ-5D can also be used to calculate health utilities and determine the quality-adjusted life years associated with a health state. There is also a youth version (EQ-5D-Y).","EQ-5D, EuroQol Five Dimension Self-Report Questionnaire, European Quality of Life Five Dimension Five Level Scale Questionnaire, EuroQol Five-Dimensional Questionnaire, EuroQol Five Dimensions Questionnaire",,,,,EQ5D_index,,40483273,
Leeds Anxiety Scale,SNOMED:273562009,Leeds anxiety scale. 6 questions rated 0-3 higher score corresponds with more anxiety,,,,,,Leeds_anx_total,,4164989,
Leeds Anxiety Depression,SNOMED:273562009,Leeds anxiety scale. 6 questions rated 0-3 higher score corresponds with more anxiety,,,,,,Leeds_dep_total,,4164989,
QUIP-RS - Gambling,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Subscore of gambling section which is made up of 2 questions,,,,,,QUIP_gamb,,,
QUIP-RS - Buying,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Subscore of buying section which is made up of 2 questions,,,,,,QUIP_buy,,,
QUIP-RS - Sex,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Subscore of sex section which is made up of 2 questions,,,,,,QUIP_sex,,,
QUIP-RS - Eating,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Subscore of eating section which is made up of 2 questions,,,,,,QUIP_eat,,,
QUIP-RS - Hobbyism,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Subscore of hobbyism,,,,,,QUIP_hobby,,,
QUIP-RS - Punding,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Subscore of punding,,,,,,QUIP_pund,,,
QUIP-RS - Medication,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Subscore of compulsive medication section which is made up of 2 questions,,,,,,QUIP_med,,,
Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Total Score,,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale - Total score,,,,,,QUIP_all,,,
Sniffin' Sticks Identification Test - Total Score,,"The identification test 16 is used for the classification of the sense of smell. With the result of the test, with the cooperation of the patient, a distinction can be made between normal sense of smell (normosmia) and limited sense of smell (hyposmia).",,,,,,sniffin_total,sniffin_total,,
Levodopa Equivalent Daily Dose,,A quantitative measure of the amount of dopaminergic PD medication a person is taking.,,,,,,LEDD_total,ledd_total,,
